"Date","Open","High","Low","Close","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)"
"Thu Jan 12 2023 13:40:00 GMT+0530 (India Standard Time)","1467.50","1470.20","1466.00","1470.05","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:45:00 GMT+0530 (India Standard Time)","1470.00","1473.75","1469.50","1473.25","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:50:00 GMT+0530 (India Standard Time)","1473.25","1475.25","1472.55","1474.75","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:55:00 GMT+0530 (India Standard Time)","1474.70","1475.35","1473.60","1474.75","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:00:00 GMT+0530 (India Standard Time)","1474.30","1475.40","1473.40","1474.95","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:05:00 GMT+0530 (India Standard Time)","1475.05","1476.25","1473.95","1475.40","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:10:00 GMT+0530 (India Standard Time)","1475.45","1475.90","1473.50","1474.55","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:15:00 GMT+0530 (India Standard Time)","1474.30","1477.25","1473.30","1475.75","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:20:00 GMT+0530 (India Standard Time)","1475.75","1478.90","1475.20","1478.55","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:25:00 GMT+0530 (India Standard Time)","1478.55","1479.00","1475.10","1475.55","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:30:00 GMT+0530 (India Standard Time)","1475.55","1476.80","1474.50","1474.55","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:35:00 GMT+0530 (India Standard Time)","1474.55","1476.00","1473.00","1474.40","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:40:00 GMT+0530 (India Standard Time)","1474.40","1474.85","1471.70","1472.45","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:45:00 GMT+0530 (India Standard Time)","1472.20","1474.80","1472.00","1473.25","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:50:00 GMT+0530 (India Standard Time)","1473.15","1474.95","1471.20","1471.45","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:55:00 GMT+0530 (India Standard Time)","1471.75","1472.75","1471.20","1471.85","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 15:00:00 GMT+0530 (India Standard Time)","1472.75","1480.00","1472.35","1480.00","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 15:05:00 GMT+0530 (India Standard Time)","1479.95","1482.95","1479.65","1480.25","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 15:10:00 GMT+0530 (India Standard Time)","1480.35","1481.60","1479.55","1480.65","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 15:15:00 GMT+0530 (India Standard Time)","1480.65","1482.65","1480.15","1482.15","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 15:20:00 GMT+0530 (India Standard Time)","1482.25","1482.60","1481.15","1481.70","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 15:25:00 GMT+0530 (India Standard Time)","1481.65","1483.40","1480.10","1483.35","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Fri Jan 13 2023 09:15:00 GMT+0530 (India Standard Time)","1483.50","1490.40","1479.70","1483.45","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 09:20:00 GMT+0530 (India Standard Time)","1483.10","1486.45","1475.30","1475.40","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 09:25:00 GMT+0530 (India Standard Time)","1475.40","1479.85","1468.10","1478.60","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 09:30:00 GMT+0530 (India Standard Time)","1478.75","1479.80","1471.15","1472.70","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 09:35:00 GMT+0530 (India Standard Time)","1472.55","1476.10","1471.15","1473.70","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 09:40:00 GMT+0530 (India Standard Time)","1474.00","1475.00","1468.10","1469.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 09:45:00 GMT+0530 (India Standard Time)","1469.00","1472.60","1468.00","1472.10","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 09:50:00 GMT+0530 (India Standard Time)","1472.20","1474.55","1470.25","1472.45","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 09:55:00 GMT+0530 (India Standard Time)","1472.45","1474.00","1470.95","1472.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:00:00 GMT+0530 (India Standard Time)","1471.05","1476.65","1471.05","1473.90","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:05:00 GMT+0530 (India Standard Time)","1473.85","1476.00","1473.10","1475.10","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:10:00 GMT+0530 (India Standard Time)","1475.10","1477.90","1475.00","1475.30","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:15:00 GMT+0530 (India Standard Time)","1475.45","1476.65","1474.00","1475.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:20:00 GMT+0530 (India Standard Time)","1474.70","1476.40","1474.50","1475.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:25:00 GMT+0530 (India Standard Time)","1475.00","1475.70","1471.50","1472.40","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:30:00 GMT+0530 (India Standard Time)","1472.40","1477.55","1471.55","1477.45","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:35:00 GMT+0530 (India Standard Time)","1477.25","1482.00","1476.90","1481.25","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:40:00 GMT+0530 (India Standard Time)","1481.35","1481.45","1478.95","1479.95","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:45:00 GMT+0530 (India Standard Time)","1479.95","1487.80","1479.30","1487.50","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:50:00 GMT+0530 (India Standard Time)","1487.05","1487.50","1483.10","1485.90","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 10:55:00 GMT+0530 (India Standard Time)","1486.05","1486.50","1483.75","1483.80","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:00:00 GMT+0530 (India Standard Time)","1483.80","1488.80","1483.75","1488.30","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:05:00 GMT+0530 (India Standard Time)","1487.95","1497.20","1487.80","1496.20","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:10:00 GMT+0530 (India Standard Time)","1496.20","1498.45","1493.15","1494.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:15:00 GMT+0530 (India Standard Time)","1494.00","1496.25","1492.90","1494.45","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:20:00 GMT+0530 (India Standard Time)","1494.55","1497.00","1494.45","1496.40","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:25:00 GMT+0530 (India Standard Time)","1496.45","1501.15","1496.00","1500.25","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:30:00 GMT+0530 (India Standard Time)","1500.45","1500.75","1496.00","1499.15","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:35:00 GMT+0530 (India Standard Time)","1498.70","1499.40","1496.10","1498.35","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:40:00 GMT+0530 (India Standard Time)","1498.35","1499.00","1497.00","1498.85","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:45:00 GMT+0530 (India Standard Time)","1498.50","1501.85","1498.45","1501.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:50:00 GMT+0530 (India Standard Time)","1501.00","1502.75","1499.00","1501.10","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 11:55:00 GMT+0530 (India Standard Time)","1501.35","1502.00","1499.00","1499.50","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:00:00 GMT+0530 (India Standard Time)","1499.95","1501.65","1497.80","1500.65","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:05:00 GMT+0530 (India Standard Time)","1500.65","1501.00","1499.00","1500.05","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:10:00 GMT+0530 (India Standard Time)","1500.05","1501.75","1499.50","1500.80","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:15:00 GMT+0530 (India Standard Time)","1500.70","1504.00","1500.60","1502.70","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:20:00 GMT+0530 (India Standard Time)","1502.70","1504.85","1502.70","1504.05","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:25:00 GMT+0530 (India Standard Time)","1504.00","1504.80","1501.50","1503.55","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:30:00 GMT+0530 (India Standard Time)","1503.55","1504.05","1501.75","1502.80","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:35:00 GMT+0530 (India Standard Time)","1502.80","1504.15","1501.60","1504.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:40:00 GMT+0530 (India Standard Time)","1503.95","1505.00","1503.05","1504.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:45:00 GMT+0530 (India Standard Time)","1504.00","1508.45","1503.65","1506.70","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:50:00 GMT+0530 (India Standard Time)","1507.05","1508.70","1506.05","1506.95","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 12:55:00 GMT+0530 (India Standard Time)","1506.95","1510.00","1506.05","1508.70","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:00:00 GMT+0530 (India Standard Time)","1508.65","1514.65","1508.20","1512.90","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:05:00 GMT+0530 (India Standard Time)","1513.35","1515.85","1512.25","1515.20","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:10:00 GMT+0530 (India Standard Time)","1515.20","1517.00","1512.85","1513.75","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:15:00 GMT+0530 (India Standard Time)","1513.60","1516.15","1511.05","1515.25","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:20:00 GMT+0530 (India Standard Time)","1515.55","1515.95","1513.35","1514.85","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:25:00 GMT+0530 (India Standard Time)","1514.65","1516.80","1514.25","1515.90","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:30:00 GMT+0530 (India Standard Time)","1515.95","1517.00","1512.40","1514.90","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:35:00 GMT+0530 (India Standard Time)","1514.85","1515.15","1511.05","1513.20","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:40:00 GMT+0530 (India Standard Time)","1513.05","1515.20","1512.50","1514.70","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:45:00 GMT+0530 (India Standard Time)","1514.65","1516.45","1514.20","1515.55","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:50:00 GMT+0530 (India Standard Time)","1515.30","1516.50","1514.35","1515.80","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 13:55:00 GMT+0530 (India Standard Time)","1515.75","1519.00","1515.50","1518.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:00:00 GMT+0530 (India Standard Time)","1518.00","1518.10","1516.05","1517.90","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:05:00 GMT+0530 (India Standard Time)","1517.85","1519.40","1516.15","1519.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:10:00 GMT+0530 (India Standard Time)","1519.10","1519.20","1517.30","1518.30","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:15:00 GMT+0530 (India Standard Time)","1518.25","1519.00","1517.05","1517.95","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:20:00 GMT+0530 (India Standard Time)","1518.05","1518.05","1513.00","1515.20","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:25:00 GMT+0530 (India Standard Time)","1515.20","1516.75","1514.15","1514.45","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:30:00 GMT+0530 (India Standard Time)","1514.90","1515.40","1507.60","1511.95","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:35:00 GMT+0530 (India Standard Time)","1512.00","1512.65","1507.00","1507.40","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:40:00 GMT+0530 (India Standard Time)","1507.40","1510.55","1507.30","1510.45","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:45:00 GMT+0530 (India Standard Time)","1510.45","1511.65","1507.60","1508.25","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:50:00 GMT+0530 (India Standard Time)","1508.25","1509.00","1505.45","1506.40","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 14:55:00 GMT+0530 (India Standard Time)","1506.40","1508.40","1503.50","1506.05","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 15:00:00 GMT+0530 (India Standard Time)","1506.05","1508.10","1505.05","1505.65","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 15:05:00 GMT+0530 (India Standard Time)","1505.65","1505.65","1501.20","1504.35","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 15:10:00 GMT+0530 (India Standard Time)","1504.30","1505.10","1503.00","1504.00","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 15:15:00 GMT+0530 (India Standard Time)","1503.70","1503.70","1500.40","1501.90","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 15:20:00 GMT+0530 (India Standard Time)","1501.95","1504.65","1501.30","1504.05","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"
"Fri Jan 13 2023 15:25:00 GMT+0530 (India Standard Time)","1504.05","1504.50","1502.20","1503.90","1474.47","1493.88","1463.93","1504.42","1444.52","1534.37","1414.57"