"Date","Open","High","Low","Close"
"Mon Jan 09 2023 11:30:00 GMT+0530 (India Standard Time)","117.50","117.55","117.40","117.45"
"Mon Jan 09 2023 11:35:00 GMT+0530 (India Standard Time)","117.40","117.45","117.20","117.25"
"Mon Jan 09 2023 11:40:00 GMT+0530 (India Standard Time)","117.30","117.35","117.10","117.20"
"Mon Jan 09 2023 11:45:00 GMT+0530 (India Standard Time)","117.20","117.70","117.20","117.70"
"Mon Jan 09 2023 11:50:00 GMT+0530 (India Standard Time)","117.65","117.70","117.60","117.65"
"Mon Jan 09 2023 11:55:00 GMT+0530 (India Standard Time)","117.70","117.70","117.65","117.65"
"Mon Jan 09 2023 12:00:00 GMT+0530 (India Standard Time)","117.70","117.70","117.50","117.50"
"Mon Jan 09 2023 12:05:00 GMT+0530 (India Standard Time)","117.50","117.55","117.50","117.55"
"Mon Jan 09 2023 12:10:00 GMT+0530 (India Standard Time)","117.55","117.70","117.50","117.65"
"Mon Jan 09 2023 12:15:00 GMT+0530 (India Standard Time)","117.65","117.90","117.65","117.80"
"Mon Jan 09 2023 12:20:00 GMT+0530 (India Standard Time)","117.80","117.80","117.65","117.70"
"Mon Jan 09 2023 12:25:00 GMT+0530 (India Standard Time)","117.70","117.70","117.45","117.60"
"Mon Jan 09 2023 12:30:00 GMT+0530 (India Standard Time)","117.60","117.70","117.50","117.65"
"Mon Jan 09 2023 12:35:00 GMT+0530 (India Standard Time)","117.65","117.75","117.60","117.70"
"Mon Jan 09 2023 12:40:00 GMT+0530 (India Standard Time)","117.70","117.85","117.60","117.80"
"Mon Jan 09 2023 12:45:00 GMT+0530 (India Standard Time)","117.75","117.80","117.65","117.70"
"Mon Jan 09 2023 12:50:00 GMT+0530 (India Standard Time)","117.70","117.75","117.60","117.70"
"Mon Jan 09 2023 12:55:00 GMT+0530 (India Standard Time)","117.60","117.70","117.60","117.65"
"Mon Jan 09 2023 13:00:00 GMT+0530 (India Standard Time)","117.60","117.65","117.15","117.25"
"Mon Jan 09 2023 13:05:00 GMT+0530 (India Standard Time)","117.20","117.75","117.20","117.65"
"Mon Jan 09 2023 13:10:00 GMT+0530 (India Standard Time)","117.65","117.95","117.65","117.80"
"Mon Jan 09 2023 13:15:00 GMT+0530 (India Standard Time)","117.70","117.85","117.60","117.65"
"Mon Jan 09 2023 13:20:00 GMT+0530 (India Standard Time)","117.70","117.70","117.50","117.55"
"Mon Jan 09 2023 13:25:00 GMT+0530 (India Standard Time)","117.60","117.65","117.55","117.60"
"Mon Jan 09 2023 13:30:00 GMT+0530 (India Standard Time)","117.60","117.60","117.30","117.40"
"Mon Jan 09 2023 13:35:00 GMT+0530 (India Standard Time)","117.35","117.40","117.30","117.40"
"Mon Jan 09 2023 13:40:00 GMT+0530 (India Standard Time)","117.40","117.45","117.10","117.30"
"Mon Jan 09 2023 13:45:00 GMT+0530 (India Standard Time)","117.30","117.40","117.05","117.15"
"Mon Jan 09 2023 13:50:00 GMT+0530 (India Standard Time)","117.15","117.30","117.05","117.20"
"Mon Jan 09 2023 13:55:00 GMT+0530 (India Standard Time)","117.25","117.45","117.20","117.45"
"Mon Jan 09 2023 14:00:00 GMT+0530 (India Standard Time)","117.45","117.45","117.30","117.30"
"Mon Jan 09 2023 14:05:00 GMT+0530 (India Standard Time)","117.30","117.45","117.25","117.30"
"Mon Jan 09 2023 14:10:00 GMT+0530 (India Standard Time)","117.35","117.45","117.30","117.45"
"Mon Jan 09 2023 14:15:00 GMT+0530 (India Standard Time)","117.40","117.55","117.40","117.40"
"Mon Jan 09 2023 14:20:00 GMT+0530 (India Standard Time)","117.40","117.50","117.40","117.50"
"Mon Jan 09 2023 14:25:00 GMT+0530 (India Standard Time)","117.45","117.55","117.45","117.50"
"Mon Jan 09 2023 14:30:00 GMT+0530 (India Standard Time)","117.55","117.55","117.40","117.45"
"Mon Jan 09 2023 14:35:00 GMT+0530 (India Standard Time)","117.55","117.55","117.30","117.35"
"Mon Jan 09 2023 14:40:00 GMT+0530 (India Standard Time)","117.35","117.40","117.20","117.20"
"Mon Jan 09 2023 14:45:00 GMT+0530 (India Standard Time)","117.25","117.25","117.00","117.25"
"Mon Jan 09 2023 14:50:00 GMT+0530 (India Standard Time)","117.20","117.30","117.05","117.15"
"Mon Jan 09 2023 14:55:00 GMT+0530 (India Standard Time)","117.10","117.25","117.10","117.20"
"Mon Jan 09 2023 15:00:00 GMT+0530 (India Standard Time)","117.20","117.50","117.20","117.40"
"Mon Jan 09 2023 15:05:00 GMT+0530 (India Standard Time)","117.45","117.50","117.40","117.45"
"Mon Jan 09 2023 15:10:00 GMT+0530 (India Standard Time)","117.50","117.65","117.45","117.65"
"Mon Jan 09 2023 15:15:00 GMT+0530 (India Standard Time)","117.65","117.75","117.60","117.60"
"Mon Jan 09 2023 15:20:00 GMT+0530 (India Standard Time)","117.60","117.75","117.55","117.60"
"Mon Jan 09 2023 15:25:00 GMT+0530 (India Standard Time)","117.60","117.65","117.50","117.65"
"Tue Jan 10 2023 09:15:00 GMT+0530 (India Standard Time)","117.65","118.75","117.65","118.70"
"Tue Jan 10 2023 09:20:00 GMT+0530 (India Standard Time)","118.65","119.65","118.50","119.60"
"Tue Jan 10 2023 09:25:00 GMT+0530 (India Standard Time)","119.60","119.75","119.00","119.05"
"Tue Jan 10 2023 09:30:00 GMT+0530 (India Standard Time)","119.00","119.40","119.00","119.10"
"Tue Jan 10 2023 09:35:00 GMT+0530 (India Standard Time)","119.00","119.25","118.70","118.80"
"Tue Jan 10 2023 09:40:00 GMT+0530 (India Standard Time)","118.80","119.20","118.70","119.15"
"Tue Jan 10 2023 09:45:00 GMT+0530 (India Standard Time)","119.15","119.20","119.00","119.10"
"Tue Jan 10 2023 09:50:00 GMT+0530 (India Standard Time)","119.15","119.30","119.05","119.25"
"Tue Jan 10 2023 09:55:00 GMT+0530 (India Standard Time)","119.20","119.30","119.10","119.25"
"Tue Jan 10 2023 10:00:00 GMT+0530 (India Standard Time)","119.25","119.30","118.85","119.05"
"Tue Jan 10 2023 10:05:00 GMT+0530 (India Standard Time)","119.05","119.30","119.00","119.20"
"Tue Jan 10 2023 10:10:00 GMT+0530 (India Standard Time)","119.15","119.25","119.05","119.15"
"Tue Jan 10 2023 10:15:00 GMT+0530 (India Standard Time)","119.10","119.40","119.05","119.25"
"Tue Jan 10 2023 10:20:00 GMT+0530 (India Standard Time)","119.25","119.35","119.20","119.20"
"Tue Jan 10 2023 10:25:00 GMT+0530 (India Standard Time)","119.25","119.30","118.85","118.95"
"Tue Jan 10 2023 10:30:00 GMT+0530 (India Standard Time)","118.90","118.95","118.65","118.70"
"Tue Jan 10 2023 10:35:00 GMT+0530 (India Standard Time)","118.70","119.00","118.65","118.85"
"Tue Jan 10 2023 10:40:00 GMT+0530 (India Standard Time)","118.90","118.95","118.75","118.80"
"Tue Jan 10 2023 10:45:00 GMT+0530 (India Standard Time)","118.85","118.85","118.75","118.80"
"Tue Jan 10 2023 10:50:00 GMT+0530 (India Standard Time)","118.85","118.85","118.70","118.75"
"Tue Jan 10 2023 10:55:00 GMT+0530 (India Standard Time)","118.80","118.85","118.70","118.80"
"Tue Jan 10 2023 11:00:00 GMT+0530 (India Standard Time)","118.80","118.85","118.55","118.55"
"Tue Jan 10 2023 11:05:00 GMT+0530 (India Standard Time)","118.55","118.60","118.40","118.55"
"Tue Jan 10 2023 11:10:00 GMT+0530 (India Standard Time)","118.55","118.55","118.40","118.45"
"Tue Jan 10 2023 11:15:00 GMT+0530 (India Standard Time)","118.35","118.50","118.30","118.40"
"Tue Jan 10 2023 11:20:00 GMT+0530 (India Standard Time)","118.40","118.40","118.20","118.25"
"Tue Jan 10 2023 11:25:00 GMT+0530 (India Standard Time)","118.20","118.25","118.00","118.10"
"Tue Jan 10 2023 11:30:00 GMT+0530 (India Standard Time)","118.15","118.20","118.10","118.10"
"Tue Jan 10 2023 11:35:00 GMT+0530 (India Standard Time)","118.10","118.15","117.80","117.90"
"Tue Jan 10 2023 11:40:00 GMT+0530 (India Standard Time)","117.90","117.95","117.75","117.80"
"Tue Jan 10 2023 11:45:00 GMT+0530 (India Standard Time)","117.85","118.10","117.80","118.00"
"Tue Jan 10 2023 11:50:00 GMT+0530 (India Standard Time)","118.05","118.20","117.90","118.15"
"Tue Jan 10 2023 11:55:00 GMT+0530 (India Standard Time)","118.15","118.25","118.05","118.15"
"Tue Jan 10 2023 12:00:00 GMT+0530 (India Standard Time)","118.20","118.50","118.15","118.50"
"Tue Jan 10 2023 12:05:00 GMT+0530 (India Standard Time)","118.50","118.95","118.40","118.50"
"Tue Jan 10 2023 12:10:00 GMT+0530 (India Standard Time)","118.50","118.55","118.35","118.45"
"Tue Jan 10 2023 12:15:00 GMT+0530 (India Standard Time)","118.45","118.65","118.40","118.60"
"Tue Jan 10 2023 12:20:00 GMT+0530 (India Standard Time)","118.60","118.75","118.50","118.55"
"Tue Jan 10 2023 12:25:00 GMT+0530 (India Standard Time)","118.55","118.90","118.50","118.80"
"Tue Jan 10 2023 12:30:00 GMT+0530 (India Standard Time)","118.85","118.95","118.60","118.70"
"Tue Jan 10 2023 12:35:00 GMT+0530 (India Standard Time)","118.70","118.70","118.45","118.50"
"Tue Jan 10 2023 12:40:00 GMT+0530 (India Standard Time)","118.50","118.55","118.30","118.35"
"Tue Jan 10 2023 12:45:00 GMT+0530 (India Standard Time)","118.35","118.35","118.00","118.05"
"Tue Jan 10 2023 12:50:00 GMT+0530 (India Standard Time)","118.10","118.10","117.75","117.90"
"Tue Jan 10 2023 12:55:00 GMT+0530 (India Standard Time)","117.90","118.10","117.85","117.90"
"Tue Jan 10 2023 13:00:00 GMT+0530 (India Standard Time)","117.95","117.95","117.60","117.70"
"Tue Jan 10 2023 13:05:00 GMT+0530 (India Standard Time)","117.75","117.95","117.65","117.95"
"Tue Jan 10 2023 13:10:00 GMT+0530 (India Standard Time)","117.95","117.95","117.80","117.85"
"Tue Jan 10 2023 13:15:00 GMT+0530 (India Standard Time)","117.85","117.85","117.85","117.85"
"Tue Jan 10 2023 13:20:00 GMT+0530 (India Standard Time)","117.85","118.05","117.85","118.00"
"Tue Jan 10 2023 13:25:00 GMT+0530 (India Standard Time)","118.10","118.20","118.00","118.20"
"Tue Jan 10 2023 13:30:00 GMT+0530 (India Standard Time)","118.20","118.25","118.00","118.05"
"Tue Jan 10 2023 13:35:00 GMT+0530 (India Standard Time)","118.00","118.10","117.95","118.00"
"Tue Jan 10 2023 13:40:00 GMT+0530 (India Standard Time)","117.95","118.00","117.75","117.90"
"Tue Jan 10 2023 13:45:00 GMT+0530 (India Standard Time)","117.85","117.95","117.85","117.90"